SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2467 N Stonelake Cir,Bloomington,IN,47404,395000,3,2.0,Stonelake Park,1580,2178,2023,10,250,140,Active,,,https://www.redfin.com/IN/Bloomington/2467-N-Stonelake-Cir-47404/home/168300645,IRMLS,202336487,N,Y,39.190401,-86.543217
MLS Listing,,Single Family Residential,1007 S Greenwood Ave,Bloomington,IN,47401,525000,4,2.5,Southeast Bloomington City,2203,10193,1959,11,238,,Active,October-15-2023 12:00 PM,October-15-2023 02:00 PM,https://www.redfin.com/IN/Bloomington/1007-S-Greenwood-Ave-47401/home/136288203,IRMLS,202336343,N,Y,39.1573313,-86.5101037
MLS Listing,,Single Family Residential,1605 S Walnut St,Bloomington,IN,47401,575000,2,1.0,,784,7841,1920,12,733,,Active,,,https://www.redfin.com/IN/Bloomington/1605-S-Walnut-St-47401/home/136415512,IRMLS,202336167,N,Y,39.1494739,-86.533183
MLS Listing,,Single Family Residential,2620 S Leonard Springs Rd,Bloomington,IN,47403,189000,2,1.0,No Subdivision,912,13939,1920,12,207,,Active,,,https://www.redfin.com/IN/Bloomington/2620-S-Leonard-Springs-Rd-47403/home/164347707,MIBOR as Distributed by MLS Grid,21946615,N,Y,39.1384709,-86.582832
MLS Listing,,Single Family Residential,5397 N Louden Rd,Bloomington,IN,47404,414000,3,2.5,Barberry Lake Estates,1823,13547,2023,12,227,21,Active,,,https://www.redfin.com/IN/Bloomington/5397-N-Louden-Rd-47404/home/184442665,IRMLS,202336079,N,Y,39.2294373,-86.6399727
MLS Listing,,Single Family Residential,7850 W Elwren Rd,Bloomington,IN,47403,450000,3,2.0,,1722,112123,1920,13,261,,Active,,,https://www.redfin.com/IN/Bloomington/7850-W-Elwren-Rd-47403/home/136228384,IRMLS,202335915,N,Y,39.1089835,-86.6445576
MLS Listing,,Single Family Residential,4612 N Shelburne Dr,Bloomington,IN,47404,209900,4,2.5,Stone Hedge / Stonehedge,1624,20473,1976,15,129,,Active,,,https://www.redfin.com/IN/Bloomington/4612-N-Shelburne-Dr-47404/home/136486899,IRMLS,202335875,N,Y,39.2111225,-86.5726814
MLS Listing,,Single Family Residential,2908 S Dale Ct,Bloomington,IN,47401,875000,5,5.0,Hyde Park,4539,20473,1998,15,193,,Active,,,https://www.redfin.com/IN/Bloomington/2908-S-Dale-Ct-47401/home/136538979,IRMLS,202335836,N,Y,39.1410204,-86.4893686
MLS Listing,,Single Family Residential,5323 S Southway Dr,Bloomington,IN,47403,179900,2,1.0,,728,24176,1953,15,247,,Active,,,https://www.redfin.com/IN/Bloomington/5323-S-Southway-Dr-47403/home/136372615,IRMLS,202335830,N,Y,39.107971,-86.5387458
MLS Listing,,Single Family Residential,1717 E Winesap Ct,Bloomington,IN,47408,349900,3,3.0,Orchard Estates,1927,57935,1998,16,182,,Active,,,https://www.redfin.com/IN/Bloomington/1717-E-Winesap-Ct-47408/home/136363903,IRMLS,202335727,N,Y,39.3018214,-86.4858539
MLS Listing,,Single Family Residential,4216 S Darrell Dr,Bloomington,IN,47403,1,2,2.0,Jerden Meadows,1723,71874,1997,16,0,,Active,October-16-2023 06:00 PM,October-16-2023 06:30 PM,https://www.redfin.com/IN/Bloomington/4216-S-Darrell-Dr-47403/home/136132645,IRMLS,202335718,N,Y,39.1213217,-86.6258156
MLS Listing,,Single Family Residential,1669 E Moffett Ln,Bloomington,IN,47401,275000,3,1.5,Southeast Monroe County,2121,72615,1957,16,130,,Active,,,https://www.redfin.com/IN/Bloomington/1669-E-Moffett-Ln-47401/home/136187353,IRMLS,202335653,N,Y,39.1002721,-86.5134515
MLS Listing,,Single Family Residential,5445 W Stonewood Dr,Bloomington,IN,47403,489900,3,2.5,Stone Chase,2948,9148,2013,16,166,32,Active,,,https://www.redfin.com/IN/Bloomington/5445-W-Stonewood-Dr-47403/home/136334106,MIBOR as Distributed by MLS Grid,21945632,N,Y,39.15551,-86.598436
MLS Listing,,Single Family Residential,7427 S Salt Creek Court Ct,Bloomington,IN,47401,379700,5,2.0,Salt Creek,2050,85813,1974,17,185,,Active,,,https://www.redfin.com/IN/Bloomington/7427-S-Salt-Creek-Ct-47401/home/136346318,IRMLS,202335517,N,Y,39.0905505,-86.4163382
MLS Listing,,Vacant Land,9391 W Rockeast Rd,Bloomington,IN,47403,179900,,,,,458687,,17,,,Active,,,https://www.redfin.com/IN/Bloomington/9391-W-Rock-East-Rd-47403/home/187731684,IRMLS,202335511,N,Y,39.023036,-86.6714514
MLS Listing,,Vacant Land,9401 W Rockeast Rd,Bloomington,IN,47403,63900,,,,,163350,,17,,,Active,,,https://www.redfin.com/IN/Bloomington/9401-W-Rock-East-Rd-47403/home/187730323,IRMLS,202335504,N,Y,39.023019,-86.671468
MLS Listing,,Vacant Land,7925 W Ratliff,Bloomington,IN,47404,130000,,,Subdivision Not Available See Legal,,109336,,18,,,Active,,,https://www.redfin.com/IN/Bloomington/7925-W-Ratliff-Rd-47404/home/187688836,MIBOR as Distributed by MLS Grid,21945739,N,Y,39.2157588,-86.6461577
MLS Listing,,Single Family Residential,1320 E Short St,Bloomington,IN,47401,399000,3,2.0,Bloomington Cohousing,1233,1307,2021,18,324,150,Active,,,https://www.redfin.com/IN/Bloomington/1320-E-Short-St-47401/home/136289179,IRMLS,202335369,N,Y,39.143871,-86.5144087
MLS Listing,,Single Family Residential,4609 E Compton Blvd,Bloomington,IN,47401,379000,3,2.0,Gentry East,1774,12197,1999,18,214,15,Active,,,https://www.redfin.com/IN/Bloomington/4609-E-Compton-Blvd-47401/home/136151178,IRMLS,202335327,N,Y,39.1551184,-86.4668149
MLS Listing,,Townhouse,2853 S Walnut Street Pike,Bloomington,IN,47401,229000,3,2.5,,1251,871,2004,18,183,115,Active,,,https://www.redfin.com/IN/Bloomington/2853-S-Walnut-Street-Pike-47401/home/136347359,IRMLS,202335256,N,Y,39.1335082,-86.526055
MLS Listing,,Condo/Co-op,614 E Moss Creek Ct,Bloomington,IN,47401,287500,3,2.0,Winslow Farm Moss Creek,1429,,1994,18,201,260,Active,,,https://www.redfin.com/IN/Bloomington/614-E-Moss-Creek-Ct-47401/home/136244569,IRMLS,202335252,N,Y,39.1362995,-86.52024
MLS Listing,,Single Family Residential,907 N Lindbergh Dr,Bloomington,IN,47404,215000,3,2.0,,1287,9148,2023,20,167,,Active,,,https://www.redfin.com/IN/Bloomington/907-N-Lindbergh-Dr-47404/home/136655043,IRMLS,202335090,N,Y,39.174603,-86.552847
MLS Listing,,Single Family Residential,3320 S Rolling Oak Dr,Bloomington,IN,47401,549000,5,3.5,Stands Rolling Oak,3564,13504,1988,20,154,,Active,,,https://www.redfin.com/IN/Bloomington/3320-S-Rolling-Oak-Dr-47401/home/136654366,IRMLS,202334947,N,Y,39.1317896,-86.5065437
MLS Listing,,Condo/Co-op,2641 E Windermere Dr,Bloomington,IN,47401,278500,2,2.0,Windermere,1744,,1979,23,160,380,Active,,,https://www.redfin.com/IN/Bloomington/2641-E-Windermere-Woods-Dr-47401/home/136219120,IRMLS,202334816,N,Y,39.1575715,-86.4981879
MLS Listing,,Single Family Residential,703 N Park Ridge Rd,Bloomington,IN,47408,399900,4,3.0,Park Ridge East,2019,7405,1977,23,198,,Active,,,https://www.redfin.com/IN/Bloomington/703-N-Park-Ridge-Rd-47408/home/136606043,IRMLS,202334785,N,Y,39.1730055,-86.4731357
MLS Listing,,Single Family Residential,621 S Park Ridge Rd,Bloomington,IN,47401,459000,3,2.5,Gentry Honours,2082,11326,1998,23,220,,Active,,,https://www.redfin.com/IN/Bloomington/621-S-Park-Ridge-Rd-47401/home/136261300,IRMLS,202334788,N,Y,39.1607884,-86.4764735
MLS Listing,,Single Family Residential,7425 S Harmony Rd,Bloomington,IN,47403,479000,3,4.5,,3260,21780,1942,23,147,,Active,,,https://www.redfin.com/IN/Bloomington/7425-S-Harmony-Rd-47403/home/136626151,IRMLS,202334772,N,Y,39.0682488,-86.6257369
MLS Listing,,Condo/Co-op,3812 S Pepper Chase,Bloomington,IN,47401,224900,2,1.0,Peppergrass,1109,,1985,23,203,244,Active,October-15-2023 01:00 PM,October-15-2023 03:00 PM,https://www.redfin.com/IN/Bloomington/3812-S-Pepper-Chase-47401/home/136361953,IRMLS,202334763,N,Y,39.1260538,-86.524006
MLS Listing,,Multi-Family (5+ Unit),604 N Smith Rd,Bloomington,IN,47408,2899000,21,21.0,,18863,32740,2017,23,154,,Active,,,https://www.redfin.com/IN/Bloomington/604-N-Smith-Rd-47408/home/136634186,IRMLS,202334670,N,Y,39.1700201,-86.4809964
MLS Listing,,Single Family Residential,9628 Wever Rd,Springville,IN,47462,475000,4,3.5,,3522,225641,2006,23,135,,Active,,,https://www.redfin.com/IN/Springville/9628-Wever-Rd-47462/home/143919440,IRMLS,202334641,N,Y,39.0039734,-86.6622299
MLS Listing,,Single Family Residential,3599 W Cockrell Rd,Bloomington,IN,47403,499000,4,3.0,The Bluffs,2465,217800,1978,24,202,,Active,October-15-2023 01:00 PM,October-15-2023 03:00 PM,https://www.redfin.com/IN/Bloomington/3599-W-Cockrell-Rd-47403/home/136478126,IRMLS,202334586,N,Y,39.1060218,-86.5850589
